epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1814.74,1.19218,0.71651,0.96305,0.67672,0.32929,0.35528,0.20121,1.19671,0.6953,0.95531,0.01,0.01,0.01
2,2900.27,1.19005,0.71582,0.96229,0.67893,0.33463,0.36288,0.20329,1.1904,0.6875,0.95257,0.00999322,0.00999322,0.00999322
3,3953.76,1.18949,0.71556,0.96226,0.67516,0.33905,0.36633,0.20827,1.17991,0.67787,0.95031,0.00997288,0.00997288,0.00997288
4,5291.89,1.18823,0.71382,0.96161,0.686,0.34461,0.37337,0.21355,1.17613,0.66995,0.94865,0.00993906,0.00993906,0.00993906
5,6210.36,1.18895,0.71296,0.9619,0.68872,0.34683,0.37722,0.21451,1.16972,0.66099,0.94772,0.00989183,0.00989183,0.00989183
6,7036.8,1.19097,0.71643,0.96257,0.66574,0.35565,0.38047,0.21841,1.16292,0.65257,0.94582,0.00983133,0.00983133,0.00983133
7,7946.19,1.19115,0.71498,0.96201,0.71647,0.34745,0.38495,0.22173,1.15824,0.6475,0.94239,0.00975773,0.00975773,0.00975773
8,8671.07,1.18935,0.71523,0.96135,0.71803,0.34793,0.38907,0.22502,1.15231,0.64159,0.94084,0.00967122,0.00967122,0.00967122
9,9547.56,1.18933,0.71456,0.96188,0.73196,0.35577,0.39569,0.22774,1.14886,0.63667,0.93968,0.00957205,0.00957205,0.00957205
10,10385.9,1.18593,0.71199,0.96093,0.71394,0.36547,0.39935,0.22981,1.14661,0.63319,0.93889,0.00946048,0.00946048,0.00946048
11,11082.3,1.18606,0.71131,0.961,0.71506,0.35778,0.39827,0.23004,1.14558,0.63111,0.93863,0.00933683,0.00933683,0.00933683
12,11862.6,1.1865,0.71046,0.96107,0.72112,0.35543,0.39903,0.23002,1.14393,0.62949,0.93793,0.00920142,0.00920142,0.00920142
13,13112.4,1.18451,0.70842,0.95927,0.71321,0.35816,0.40074,0.23148,1.14304,0.62824,0.93735,0.00905463,0.00905463,0.00905463
