epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,931.391,1.21708,0.90515,0.98207,0.6702,0.31297,0.33738,0.19052,1.22134,0.73215,0.96333,0.00333105,0.00333105,0.00333105
2,1857.67,1.25547,0.80976,0.99476,0.70614,0.29725,0.3128,0.17082,1.25398,0.7886,0.9922,0.00666275,0.00666275,0.00666275
3,2786.66,1.30266,0.86028,1.01933,0.60823,0.27198,0.28755,0.15341,1.28771,0.82624,1.0109,0.00998795,0.00998795,0.00998795
4,3713.6,1.28437,0.83227,1.01427,0.66268,0.3077,0.34064,0.19211,1.20162,0.71429,0.97845,0.00997803,0.00997803,0.00997803
5,4637.56,1.23803,0.77852,0.99623,0.74596,0.33355,0.36217,0.20398,1.1733,0.67656,0.96663,0.00996097,0.00996097,0.00996097
6,5562.34,1.21463,0.75246,0.9864,0.68774,0.34603,0.3851,0.22058,1.15609,0.65157,0.95596,0.00993906,0.00993906,0.00993906
7,6488.37,1.20059,0.73576,0.98053,0.711,0.35511,0.39132,0.22524,1.14328,0.63856,0.95344,0.00991232,0.00991232,0.00991232
8,7412.34,1.19111,0.72393,0.97653,0.72978,0.3604,0.40138,0.23208,1.13442,0.62613,0.94909,0.00988079,0.00988079,0.00988079
9,8335.02,1.18254,0.71446,0.97337,0.69821,0.36548,0.40541,0.23533,1.12791,0.61841,0.94615,0.00984449,0.00984449,0.00984449
10,9263.69,1.17577,0.70685,0.96982,0.711,0.3692,0.40963,0.23774,1.12523,0.6125,0.94457,0.00980345,0.00980345,0.00980345
11,10192.3,1.17101,0.70133,0.96914,0.70285,0.37233,0.4146,0.24041,1.12199,0.60853,0.94378,0.00975773,0.00975773,0.00975773
12,11120.2,1.1663,0.69664,0.9668,0.71764,0.36982,0.41859,0.2426,1.11951,0.60531,0.94298,0.00970736,0.00970736,0.00970736
13,12047.5,1.16062,0.69184,0.96635,0.7078,0.37599,0.42077,0.24454,1.11728,0.60294,0.9422,0.00965239,0.00965239,0.00965239
14,12974.8,1.15864,0.68834,0.9629,0.70199,0.38222,0.42163,0.2456,1.11625,0.6012,0.94147,0.00959289,0.00959289,0.00959289
15,13902.2,1.15585,0.68581,0.96282,0.71674,0.38408,0.4227,0.24663,1.11476,0.59948,0.94091,0.00952889,0.00952889,0.00952889
16,14829.2,1.15283,0.68142,0.961,0.72899,0.38278,0.42412,0.24764,1.11381,0.59808,0.94052,0.00946048,0.00946048,0.00946048
17,15754.6,1.14889,0.67875,0.95885,0.72231,0.38404,0.42509,0.24849,1.11269,0.59673,0.9399,0.00938772,0.00938772,0.00938772
18,16677.4,1.14804,0.67624,0.95793,0.72181,0.38551,0.42676,0.24955,1.11152,0.59573,0.93932,0.00931067,0.00931067,0.00931067
19,17600,1.14697,0.67509,0.95772,0.71871,0.38668,0.42721,0.25012,1.11062,0.59463,0.93883,0.00922942,0.00922942,0.00922942
20,18522.6,1.14317,0.67187,0.95724,0.7211,0.38504,0.42849,0.25076,1.10958,0.5935,0.93829,0.00914405,0.00914405,0.00914405
21,19447.3,1.14252,0.67175,0.95638,0.72156,0.38587,0.42889,0.25136,1.10863,0.59243,0.93784,0.00905463,0.00905463,0.00905463
22,20370.2,1.14116,0.66835,0.95481,0.72558,0.38525,0.42988,0.25246,1.10785,0.59138,0.93734,0.00896127,0.00896127,0.00896127
23,21297.8,1.1393,0.66698,0.95481,0.72418,0.38772,0.43043,0.25286,1.10711,0.59045,0.93683,0.00886404,0.00886404,0.00886404
24,22227.3,1.13687,0.66532,0.9537,0.72344,0.38741,0.43083,0.25327,1.10644,0.58935,0.93643,0.00876305,0.00876305,0.00876305
25,23156.4,1.13504,0.6629,0.95442,0.72449,0.38701,0.43221,0.25412,1.10546,0.58845,0.93615,0.00865839,0.00865839,0.00865839
26,24085.2,1.13405,0.66171,0.9536,0.72417,0.38677,0.43341,0.25501,1.10486,0.58752,0.93587,0.00855018,0.00855018,0.00855018
27,25015.3,1.13242,0.65957,0.95184,0.72159,0.38971,0.43567,0.25636,1.10426,0.58675,0.93558,0.00843851,0.00843851,0.00843851
28,25939.4,1.13277,0.65906,0.95174,0.71129,0.39706,0.43732,0.2568,1.10374,0.58587,0.93527,0.00832349,0.00832349,0.00832349
29,26862.3,1.13038,0.6574,0.95019,0.72028,0.39578,0.43943,0.25766,1.10304,0.58509,0.93473,0.00820525,0.00820525,0.00820525
30,27784.9,1.12924,0.6564,0.95096,0.71847,0.39714,0.44015,0.25836,1.10227,0.58428,0.93439,0.00808389,0.00808389,0.00808389
31,28707.7,1.12612,0.65389,0.94965,0.72202,0.39563,0.44169,0.25966,1.10171,0.58369,0.93408,0.00795954,0.00795954,0.00795954
32,29630.7,1.12764,0.65442,0.95007,0.7248,0.39464,0.44297,0.26072,1.10119,0.58306,0.93382,0.00783231,0.00783231,0.00783231
33,30556.4,1.12477,0.65101,0.9485,0.71905,0.39715,0.4436,0.2617,1.10066,0.5827,0.93362,0.00770234,0.00770234,0.00770234
34,31483.9,1.12291,0.65,0.94862,0.72225,0.39591,0.44342,0.26163,1.09984,0.58213,0.93332,0.00756976,0.00756976,0.00756976
35,32411.5,1.12317,0.6488,0.94782,0.7236,0.39786,0.4437,0.26172,1.09948,0.58133,0.93312,0.00743468,0.00743468,0.00743468
36,33339.3,1.12067,0.6458,0.94696,0.72373,0.3996,0.44336,0.26164,1.09907,0.58062,0.93278,0.00729725,0.00729725,0.00729725
37,34267.3,1.11965,0.64544,0.94642,0.72776,0.39582,0.44426,0.26247,1.0985,0.57987,0.9324,0.00715761,0.00715761,0.00715761
38,35191.5,1.11902,0.64392,0.94574,0.72812,0.39994,0.44626,0.26394,1.09806,0.57924,0.93202,0.00701588,0.00701588,0.00701588
39,36114.1,1.11753,0.64304,0.94577,0.70785,0.41038,0.44726,0.26498,1.09755,0.57875,0.93172,0.00687222,0.00687222,0.00687222
40,37039,1.11515,0.63989,0.94473,0.71481,0.40811,0.44946,0.26611,1.09699,0.5782,0.9314,0.00672675,0.00672675,0.00672675
41,37967.8,1.11298,0.63808,0.94377,0.71984,0.40748,0.44746,0.26467,1.09641,0.57746,0.93094,0.00657963,0.00657963,0.00657963
42,38896.6,1.113,0.63704,0.94349,0.71356,0.41243,0.4465,0.26417,1.09594,0.57694,0.9307,0.00643101,0.00643101,0.00643101
43,39824.9,1.1122,0.63577,0.94324,0.7226,0.4114,0.44711,0.26453,1.09568,0.57636,0.93044,0.00628101,0.00628101,0.00628101
44,40753.5,1.10905,0.63362,0.94186,0.72625,0.41076,0.44819,0.26553,1.09523,0.57585,0.9302,0.00612981,0.00612981,0.00612981
45,41683.8,1.10887,0.63249,0.94199,0.72553,0.41071,0.44778,0.26503,1.09486,0.57517,0.92986,0.00597754,0.00597754,0.00597754
46,42613.5,1.1055,0.62966,0.94063,0.72505,0.41272,0.45042,0.26733,1.09449,0.57461,0.92957,0.00582435,0.00582435,0.00582435
47,43543.8,1.10557,0.62912,0.94102,0.72457,0.41344,0.44983,0.2671,1.09389,0.5739,0.92921,0.0056704,0.0056704,0.0056704
48,44473.6,1.10448,0.62706,0.93985,0.7282,0.40925,0.44893,0.26611,1.0935,0.57337,0.92898,0.00551584,0.00551584,0.00551584
49,45402.9,1.10281,0.62573,0.94002,0.73282,0.41013,0.44916,0.26604,1.09325,0.57282,0.92887,0.00536081,0.00536081,0.00536081
50,46332.1,1.09911,0.62159,0.93879,0.73156,0.41496,0.45047,0.26646,1.09286,0.57257,0.92875,0.00520548,0.00520548,0.00520548
51,47262.3,1.09886,0.62128,0.93811,0.72748,0.41567,0.44994,0.26626,1.09257,0.57206,0.92848,0.00505,0.00505,0.00505
52,48191.6,1.09716,0.61896,0.93683,0.6476,0.41554,0.45024,0.26657,1.09215,0.57135,0.92815,0.00489452,0.00489452,0.00489452
53,49121.2,1.09548,0.61724,0.93691,0.65442,0.41621,0.44968,0.26621,1.09205,0.57084,0.92796,0.00473919,0.00473919,0.00473919
54,50050.4,1.09454,0.61611,0.93648,0.65521,0.41616,0.45063,0.26712,1.09193,0.57029,0.92774,0.00458416,0.00458416,0.00458416
55,50979.7,1.09429,0.61391,0.93654,0.65785,0.41679,0.45171,0.2678,1.09179,0.56978,0.92766,0.0044296,0.0044296,0.0044296
56,51909.2,1.08973,0.61067,0.9358,0.65477,0.41602,0.45188,0.26812,1.09154,0.56952,0.9276,0.00427565,0.00427565,0.00427565
57,52839.9,1.08814,0.60884,0.93533,0.63924,0.42782,0.45246,0.26855,1.09112,0.56921,0.92754,0.00412246,0.00412246,0.00412246
58,53769.9,1.08712,0.60723,0.93384,0.63765,0.42883,0.45274,0.26885,1.09077,0.56877,0.92748,0.00397019,0.00397019,0.00397019
59,54700,1.08693,0.60556,0.93383,0.65943,0.43742,0.45316,0.26918,1.09045,0.56845,0.92733,0.00381899,0.00381899,0.00381899
60,55630.4,1.08321,0.60248,0.9326,0.68842,0.42612,0.45496,0.27023,1.09029,0.56805,0.92731,0.00366899,0.00366899,0.00366899
61,56560.8,1.08132,0.60023,0.93054,0.66288,0.43258,0.45484,0.27026,1.08988,0.56761,0.92697,0.00352037,0.00352037,0.00352037
62,57490.2,1.07838,0.59746,0.93178,0.65568,0.43449,0.4548,0.27049,1.08985,0.56731,0.92699,0.00337325,0.00337325,0.00337325
63,58419.7,1.07571,0.59422,0.93007,0.67584,0.42246,0.4555,0.271,1.08941,0.56705,0.92677,0.00322778,0.00322778,0.00322778
64,59345.5,1.07551,0.5935,0.92894,0.68069,0.42177,0.45657,0.27138,1.08935,0.56666,0.9266,0.00308412,0.00308412,0.00308412
